gene_id,S1.c2,S10.c2,S11.c2,S12.c2,S2.c2,S3.c2,S4.c2,S5.c2,S6.c2,S7.c2,S8.c2,S9.c2
Defb26,0,0,0,0,0,0,0,0,0,0,0,0
Defb29,0,0,0,0,0,0,0,0,0,0,0,0
Defb28,0,0,0,0,0,0,0,0,0,0,0,0
Armc3,0,0,0,0,0,0,0,0,0,0,0,0
1700026D11Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gcnt7,0,0,0,0,0,0,0,0,0,0,0,0
Exd1,14,21,25,13,12,10,15,31,15,10,45,17
Prg2,0,16,2,0,0,0,0,3,0,0,0,2
Ptk6,0,0,0,0,0,0,0,0,0,0,0,0
Naif1,167,157,122,81,101,55,67,99,140,69,144,137
Olfr1102,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1101,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1100,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1107,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1106,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1105,0,0,0,0,0,0,0,0,0,0,0,0
